법정동코드_변경후	법정동명_변경후	생성일자_변경후	삭제일자_변경후	법정동코드_변경전	법정동명_변경전	생성일자_변경전	삭제일자_변경전	변경내역
2623011000	부산광역시 부산진구 가야동			2123011000	부산직할시 부산진구 가야동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123011000 > 2623011000 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623011100	부산광역시 부산진구 개금동			2123011100	부산직할시 부산진구 개금동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123011100 > 2623011100 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2920000000	광주광역시 광산구			2420000000	광주직할시 광산구	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420000000 > 2920000000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010100	광주광역시 광산구 송정동			2420010100	광주직할시 광산구 송정동	1989-03-10	1995-01-01	[법정동코드 변경내역] 2420010100 > 2920010100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010200	광주광역시 광산구 도산동			2420010200	광주직할시 광산구 도산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010200 > 2920010200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010300	광주광역시 광산구 도호동			2420010300	광주직할시 광산구 도호동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010300 > 2920010300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010400	광주광역시 광산구 신촌동			2420010400	광주직할시 광산구 신촌동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010400 > 2920010400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010500	광주광역시 광산구 서봉동			2420010500	광주직할시 광산구 서봉동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010500 > 2920010500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010600	광주광역시 광산구 운수동			2420010600	광주직할시 광산구 운수동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010600 > 2920010600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010700	광주광역시 광산구 선암동			2420010700	광주직할시 광산구 선암동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010700 > 2920010700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010800	광주광역시 광산구 소촌동			2420010800	광주직할시 광산구 소촌동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420010800 > 2920010800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920010900	광주광역시 광산구 우산동			2420010900	광주직할시 광산구 우산동	1993-12-01	1995-01-01	[법정동코드 변경내역] 2420010900 > 2920010900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011000	광주광역시 광산구 황룡동			2420011000	광주직할시 광산구 황룡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011000 > 2920011000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011100	광주광역시 광산구 박호동			2420011100	광주직할시 광산구 박호동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011100 > 2920011100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011200	광주광역시 광산구 비아동			2420011200	광주직할시 광산구 비아동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011200 > 2920011200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011300	광주광역시 광산구 도천동			2420020300	광주직할시 광산구 도천동	1989-04-01	1995-01-01	[법정동코드 변경내역] 2420020300 > 2920011300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011400	광주광역시 광산구 수완동			2420011400	광주직할시 광산구 수완동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011400 > 2920011400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011500	광주광역시 광산구 월계동			2420011500	광주직할시 광산구 월계동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011500 > 2920011500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011600	광주광역시 광산구 쌍암동			2420011600	광주직할시 광산구 쌍암동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011600 > 2920011600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011700	광주광역시 광산구 산월동			2420011700	광주직할시 광산구 산월동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420011700 > 2920011700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011800	광주광역시 광산구 신창동			2420011800	광주직할시 광산구 신창동	1992-04-16	1995-01-01	[법정동코드 변경내역] 2420011800 > 2920011800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920011900	광주광역시 광산구 신가동			2420011900	광주직할시 광산구 신가동	1992-04-16	1995-01-01	[법정동코드 변경내역] 2420011900 > 2920011900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012000	광주광역시 광산구 운남동			2420012000	광주직할시 광산구 운남동	1992-04-16	1995-01-01	[법정동코드 변경내역] 2420012000 > 2920012000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012100	광주광역시 광산구 안청동			2420012100	광주직할시 광산구 안청동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420012100 > 2920012100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012200	광주광역시 광산구 진곡동			2420012200	광주직할시 광산구 진곡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420012200 > 2920012200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012300	광주광역시 광산구 장덕동			2420012400	광주직할시 광산구 장덕동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420012400 > 2920012300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012400	광주광역시 광산구 흑석동			2420012500	광주직할시 광산구 흑석동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420012500 > 2920012400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012500	광주광역시 광산구 하남동			2420012600	광주직할시 광산구 하남동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420012600 > 2920012500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012600	광주광역시 광산구 장수동			2420012700	광주직할시 광산구 장수동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420012700 > 2920012600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012700	광주광역시 광산구 산정동			2420012800	광주직할시 광산구 산정동	1993-12-01	1995-01-01	[법정동코드 변경내역] 2420012800 > 2920012700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012800	광주광역시 광산구 월곡동			2420012900	광주직할시 광산구 월곡동	1993-12-01	1995-01-01	[법정동코드 변경내역] 2420012900 > 2920012800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920012900	광주광역시 광산구 등임동			2420013000	광주직할시 광산구 등임동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013000 > 2920012900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013000	광주광역시 광산구 산막동			2420013100	광주직할시 광산구 산막동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013100 > 2920013000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013100	광주광역시 광산구 고룡동			2420013200	광주직할시 광산구 고룡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013200 > 2920013100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013200	광주광역시 광산구 신룡동			2420013300	광주직할시 광산구 신룡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013300 > 2920013200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013300	광주광역시 광산구 두정동			2420013400	광주직할시 광산구 두정동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013400 > 2920013300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013400	광주광역시 광산구 임곡동			2420013500	광주직할시 광산구 임곡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013500 > 2920013400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013500	광주광역시 광산구 광산동			2420013600	광주직할시 광산구 광산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013600 > 2920013500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013600	광주광역시 광산구 오산동			2420013700	광주직할시 광산구 오산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013700 > 2920013600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013700	광주광역시 광산구 사호동			2420013800	광주직할시 광산구 사호동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013800 > 2920013700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013800	광주광역시 광산구 하산동			2420013900	광주직할시 광산구 하산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420013900 > 2920013800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920013900	광주광역시 광산구 유계동			2420014000	광주직할시 광산구 유계동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014000 > 2920013900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014000	광주광역시 광산구 본덕동			2420014100	광주직할시 광산구 본덕동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014100 > 2920014000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014100	광주광역시 광산구 용봉동			2420014200	광주직할시 광산구 용봉동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014200 > 2920014100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014200	광주광역시 광산구 요기동			2420014300	광주직할시 광산구 요기동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014300 > 2920014200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014300	광주광역시 광산구 복룡동			2420014400	광주직할시 광산구 복룡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014400 > 2920014300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014400	광주광역시 광산구 송대동			2420014500	광주직할시 광산구 송대동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014500 > 2920014400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014500	광주광역시 광산구 옥동			2420014600	광주직할시 광산구 옥동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014600 > 2920014500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014600	광주광역시 광산구 월전동			2420014700	광주직할시 광산구 월전동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014700 > 2920014600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014700	광주광역시 광산구 장록동			2420014800	광주직할시 광산구 장록동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014800 > 2920014700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014800	광주광역시 광산구 송촌동			2420014900	광주직할시 광산구 송촌동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420014900 > 2920014800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920014900	광주광역시 광산구 지죽동			2420015000	광주직할시 광산구 지죽동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015000 > 2920014900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015000	광주광역시 광산구 용동			2420015100	광주직할시 광산구 용동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015100 > 2920015000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015100	광주광역시 광산구 용곡동			2420015200	광주직할시 광산구 용곡동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015200 > 2920015100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015200	광주광역시 광산구 지정동			2420015300	광주직할시 광산구 지정동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015300 > 2920015200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015300	광주광역시 광산구 명화동			2420015400	광주직할시 광산구 명화동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015400 > 2920015300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015400	광주광역시 광산구 동산동			2420015500	광주직할시 광산구 동산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015500 > 2920015400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015500	광주광역시 광산구 연산동			2420015600	광주직할시 광산구 연산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015600 > 2920015500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015600	광주광역시 광산구 도덕동			2420015700	광주직할시 광산구 도덕동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015700 > 2920015600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015700	광주광역시 광산구 송산동			2420015800	광주직할시 광산구 송산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015800 > 2920015700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015800	광주광역시 광산구 지평동			2420015900	광주직할시 광산구 지평동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420015900 > 2920015800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920015900	광주광역시 광산구 오운동			2420016000	광주직할시 광산구 오운동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016000 > 2920015900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016000	광주광역시 광산구 삼거동			2420016100	광주직할시 광산구 삼거동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016100 > 2920016000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016100	광주광역시 광산구 양동			2420016200	광주직할시 광산구 양동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016200 > 2920016100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016200	광주광역시 광산구 내산동			2420016300	광주직할시 광산구 내산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016300 > 2920016200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016300	광주광역시 광산구 대산동			2420016400	광주직할시 광산구 대산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016400 > 2920016300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016400	광주광역시 광산구 송학동			2420016500	광주직할시 광산구 송학동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016500 > 2920016400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016500	광주광역시 광산구 신동			2420016600	광주직할시 광산구 신동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016600 > 2920016500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016600	광주광역시 광산구 삼도동			2420016700	광주직할시 광산구 삼도동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016700 > 2920016600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016700	광주광역시 광산구 남산동			2420016800	광주직할시 광산구 남산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016800 > 2920016700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016800	광주광역시 광산구 송치동			2420016900	광주직할시 광산구 송치동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420016900 > 2920016800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920016900	광주광역시 광산구 산수동			2420017000	광주직할시 광산구 산수동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017000 > 2920016900 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017000	광주광역시 광산구 선동			2420017100	광주직할시 광산구 선동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017100 > 2920017000 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017100	광주광역시 광산구 지산동			2420017200	광주직할시 광산구 지산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017200 > 2920017100 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017200	광주광역시 광산구 왕동			2420017300	광주직할시 광산구 왕동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017300 > 2920017200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017300	광주광역시 광산구 북산동			2420017400	광주직할시 광산구 북산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017400 > 2920017300 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017400	광주광역시 광산구 명도동			2420017500	광주직할시 광산구 명도동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017500 > 2920017400 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017500	광주광역시 광산구 동호동			2420017600	광주직할시 광산구 동호동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017600 > 2920017500 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017600	광주광역시 광산구 덕림동			2420017700	광주직할시 광산구 덕림동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017700 > 2920017600 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017700	광주광역시 광산구 양산동			2420017800	광주직할시 광산구 양산동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017800 > 2920017700 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920017800	광주광역시 광산구 동림동			2420017900	광주직할시 광산구 동림동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2420017900 > 2920017800 | [법정동명 변경내역]: 광주직할시 > 광주광역시
2920020200	광주광역시 광산구 오선동			2420020500	광주직할시 광산구 오선동	1992-05-04	1995-01-01	[법정동코드 변경내역] 2420020500 > 2920020200 | [법정동명 변경내역]: 광주직할시 > 광주광역시
4374033500	충청북도 영동군 추풍령면			4374033000	충청북도 영동군 황금면	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033000 > 4374033500 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033521	충청북도 영동군 추풍령면 관리			4374033021	충청북도 영동군 황금면 관리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033021 > 4374033521 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033522	충청북도 영동군 추풍령면 사부리			4374033022	충청북도 영동군 황금면 사부리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033022 > 4374033522 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033523	충청북도 영동군 추풍령면 계룡리			4374033023	충청북도 영동군 황금면 계룡리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033023 > 4374033523 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033524	충청북도 영동군 추풍령면 추풍령리			4374033024	충청북도 영동군 황금면 추풍령리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033024 > 4374033524 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033525	충청북도 영동군 추풍령면 죽전리			4374033025	충청북도 영동군 황금면 죽전리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033025 > 4374033525 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033526	충청북도 영동군 추풍령면 작점리			4374033026	충청북도 영동군 황금면 작점리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033026 > 4374033526 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033527	충청북도 영동군 추풍령면 신안리			4374033027	충청북도 영동군 황금면 신안리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033027 > 4374033527 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033528	충청북도 영동군 추풍령면 웅북리			4374033028	충청북도 영동군 황금면 웅북리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033028 > 4374033528 | [법정동명 변경내역]: 황금면 > 추풍령면
4374033529	충청북도 영동군 추풍령면 지봉리			4374033029	충청북도 영동군 황금면 지봉리	1988-04-23	1991-07-19	[법정동코드 변경내역] 4374033029 > 4374033529 | [법정동명 변경내역]: 황금면 > 추풍령면
4725025000	경상북도 상주시 함창읍			4788025000				[법정동코드 변경내역] 4788025000 > 4725025000 | [법정동명 변경내역]: 
4725025021	경상북도 상주시 함창읍 구향리			4788025021				[법정동코드 변경내역] 4788025021 > 4725025021 | [법정동명 변경내역]: 
4725025022	경상북도 상주시 함창읍 오동리			4788025022				[법정동코드 변경내역] 4788025022 > 4725025022 | [법정동명 변경내역]: 
4725025023	경상북도 상주시 함창읍 오사리			4788025023				[법정동코드 변경내역] 4788025023 > 4725025023 | [법정동명 변경내역]: 
4725025024	경상북도 상주시 함창읍 증촌리			4788025024				[법정동코드 변경내역] 4788025024 > 4725025024 | [법정동명 변경내역]: 
4725025025	경상북도 상주시 함창읍 교촌리			4788025025				[법정동코드 변경내역] 4788025025 > 4725025025 | [법정동명 변경내역]: 
4725025026	경상북도 상주시 함창읍 나한리			4788025026				[법정동코드 변경내역] 4788025026 > 4725025026 | [법정동명 변경내역]: 
4725025027	경상북도 상주시 함창읍 대조리			4788025027				[법정동코드 변경내역] 4788025027 > 4725025027 | [법정동명 변경내역]: 
4725025028	경상북도 상주시 함창읍 윤직리			4788025028				[법정동코드 변경내역] 4788025028 > 4725025028 | [법정동명 변경내역]: 
4725025029	경상북도 상주시 함창읍 덕통리			4788025029				[법정동코드 변경내역] 4788025029 > 4725025029 | [법정동명 변경내역]: 
4725025030	경상북도 상주시 함창읍 척동리			4788025030				[법정동코드 변경내역] 4788025030 > 4725025030 | [법정동명 변경내역]: 
4725025031	경상북도 상주시 함창읍 태봉리			4788025031				[법정동코드 변경내역] 4788025031 > 4725025031 | [법정동명 변경내역]: 
4725025032	경상북도 상주시 함창읍 신흥리			4788025032				[법정동코드 변경내역] 4788025032 > 4725025032 | [법정동명 변경내역]: 
4725025033	경상북도 상주시 함창읍 신덕리			4788025033				[법정동코드 변경내역] 4788025033 > 4725025033 | [법정동명 변경내역]: 
4725025034	경상북도 상주시 함창읍 금곡리			4788025034				[법정동코드 변경내역] 4788025034 > 4725025034 | [법정동명 변경내역]: 
4725025035	경상북도 상주시 함창읍 하갈리			4788025035				[법정동코드 변경내역] 4788025035 > 4725025035 | [법정동명 변경내역]: 
4725031000	경상북도 상주시 중동면			4788031000	경상북도 상주군 중동면	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031000 > 4725031000 | [법정동명 변경내역]: 상주군 > 상주시
4725031021	경상북도 상주시 중동면 회상리			4788031021	경상북도 상주군 중동면 회상리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031021 > 4725031021 | [법정동명 변경내역]: 상주군 > 상주시
4725031022	경상북도 상주시 중동면 오상리			4788031022	경상북도 상주군 중동면 오상리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031022 > 4725031022 | [법정동명 변경내역]: 상주군 > 상주시
4725031023	경상북도 상주시 중동면 죽암리			4788031023	경상북도 상주군 중동면 죽암리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031023 > 4725031023 | [법정동명 변경내역]: 상주군 > 상주시
4725031024	경상북도 상주시 중동면 간상리			4788031024	경상북도 상주군 중동면 간상리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031024 > 4725031024 | [법정동명 변경내역]: 상주군 > 상주시
4725031025	경상북도 상주시 중동면 신암리			4788031025	경상북도 상주군 중동면 신암리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031025 > 4725031025 | [법정동명 변경내역]: 상주군 > 상주시
4725031026	경상북도 상주시 중동면 금당리			4788031026	경상북도 상주군 중동면 금당리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031026 > 4725031026 | [법정동명 변경내역]: 상주군 > 상주시
4725031027	경상북도 상주시 중동면 우물리			4788031027	경상북도 상주군 중동면 우물리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788031027 > 4725031027 | [법정동명 변경내역]: 상주군 > 상주시
4725032000	경상북도 상주시 사벌면		2019-12-30	4788032000	경상북도 상주군 사벌면	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788032000 > 4725032000 | [법정동명 변경내역]: 상주군 > 상주시
4725032021	경상북도 상주시 사벌면 덕담리		2019-12-30	4788032021	경상북도 상주군 사벌면 덕담리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788032021 > 4725032021 | [법정동명 변경내역]: 상주군 > 상주시
4725032022	경상북도 상주시 사벌면 원흥리		2019-12-30	4788032022	경상북도 상주군 사벌면 원흥리	1988-04-23	1995-01-01	[법정동코드 변경내역] 4788032022 > 4725032022 | [법정동명 변경내역]: 상주군 > 상주시
